CARHR000010.1	CARHR172190.1	NA
CARHR000370.1	CARHR227430.1	NA
CARHR000370.1	CARHR178700.1	6.2779
CARHR000370.1	CARHR030240.1	NA
CARHR000370.1	CARHR178650.1	NA
CARHR000370.1	CARHR178770.1	5.7042
CARHR000370.1	CARHR178640.1	6.5487
CARHR000370.1	CARHR178660.1	2.9426
CARHR000380.1	CARHR020090.1	5.3553
CARHR000390.1	CARHR171250.1	1.8186
CARHR000390.1	CARHR293970.1	7.8788
CARHR000390.1	CARHR243700.1	NA
CARHR000390.1	CARHR153370.1	NA
CARHR000400.1	CARHR012720.1	4.0568
CARHR000400.1	CARHR164850.1	NA
CARHR000400.1	CARHR164850.1	NA
CARHR000400.1	CARHR291490.1	NA
CARHR000400.1	CARHR154150.1	NA
CARHR000400.1	CARHR283830.1	NA
CARHR000400.1	CARHR121650.1	NA
CARHR000400.1	CARHR094490.1	NA
CARHR000400.1	CARHR132170.1	NA
CARHR000400.1	CARHR092680.1	NA
CARHR000400.1	CARHR130440.1	NA
CARHR000400.1	CARHR151450.1	NA
CARHR000400.1	CARHR099650.1	NA
CARHR000400.1	CARHR184340.1	NA
CARHR000400.1	CARHR113830.1	NA
CARHR000400.1	CARHR158690.1	NA
CARHR000400.1	CARHR142900.1	NA
CARHR000400.1	CARHR047700.1	NA
CARHR000400.1	CARHR274610.1	NA
CARHR000400.1	CARHR186110.1	NA
CARHR000400.1	CARHR159600.1	NA
CARHR000400.1	CARHR084660.1	NA
CARHR000400.1	CARHR186460.1	NA
CARHR000400.1	CARHR065110.1	NA
CARHR000400.1	CARHR152720.1	NA
CARHR000400.1	CARHR019170.1	NA
CARHR000400.1	CARHR112260.1	NA
CARHR000400.1	CARHR066960.1	NA
CARHR000400.1	CARHR084790.1	NA
CARHR000400.1	CARHR019010.1	NA
CARHR000400.1	CARHR112170.1	NA
CARHR000400.1	CARHR045250.1	7.0988
CARHR000400.1	CARHR185750.1	NA
CARHR000400.1	CARHR018970.1	NA
CARHR000400.1	CARHR247700.1	NA
CARHR000400.1	CARHR053030.1	NA
CARHR000400.1	CARHR247820.1	NA
CARHR000400.1	CARHR281400.1	NA
CARHR000400.1	CARHR184560.1	NA
CARHR000400.1	CARHR160750.1	NA
CARHR000400.1	CARHR022110.1	NA
CARHR000400.1	CARHR009100.1	NA
CARHR000400.1	CARHR267980.1	NA
CARHR000400.1	CARHR231570.1	NA
CARHR000400.1	CARHR211030.1	NA
CARHR000400.1	CARHR252360.1	NA
CARHR000400.1	CARHR086580.1	NA
CARHR000400.1	CARHR227850.1	NA
CARHR000400.1	CARHR290410.1	NA
CARHR000400.1	CARHR206540.1	NA
CARHR000400.1	CARHR279440.1	NA
CARHR000400.1	CARHR181870.1	NA
CARHR000400.1	CARHR262870.1	5.9378
CARHR000400.1	CARHR234820.1	NA
CARHR000410.1	CARHR130370.1	8.0651
CARHR000410.1	CARHR280050.1	NA
CARHR000410.1	CARHR151580.1	6.7164
CARHR000410.1	CARHR044020.1	8.4362
CARHR000450.1	CARHR084830.1	NA
CARHR000450.1	CARHR274410.1	NA
CARHR000460.1	CARHR264610.1	NA
CARHR000460.1	CARHR103570.1	NA
CARHR000460.1	CARHR280250.1	NA
CARHR000460.1	CARHR243260.1	NA
CARHR000460.1	CARHR088910.1	NA
CARHR000460.1	CARHR089160.1	NA
CARHR000460.1	CARHR106920.1	NA
CARHR000460.1	CARHR003450.1	NA
CARHR000460.1	CARHR102070.1	NA
CARHR000460.1	CARHR273390.1	NA
CARHR000460.1	CARHR176340.1	NA
CARHR000460.1	CARHR020670.1	7.6196
CARHR000460.1	CARHR209680.1	6.2385
CARHR000460.1	CARHR155420.1	NA
CARHR000460.1	CARHR285530.1	NA
CARHR000460.1	CARHR285350.1	NA
CARHR000460.1	CARHR285480.1	NA
CARHR000460.1	CARHR272770.1	8.8412
CARHR000460.1	CARHR285410.1	NA
CARHR000460.1	CARHR272750.1	NA
CARHR000460.1	CARHR280560.1	NA
CARHR000460.1	CARHR032270.1	NA
CARHR000460.1	CARHR256030.1	NA
CARHR000460.1	CARHR233910.1	NA
CARHR000460.1	CARHR256070.1	NA
CARHR000460.1	CARHR256050.1	NA
CARHR000460.1	CARHR119220.1	NA
CARHR000460.1	CARHR292170.1	NA
CARHR000460.1	CARHR228330.1	NA
CARHR000460.1	CARHR228360.1	NA
CARHR000460.1	CARHR020660.1	NA
CARHR000460.1	CARHR272760.1	9.8927
CARHR000460.1	CARHR288470.1	NA
CARHR000460.1	CARHR228350.1	NA
CARHR000460.1	CARHR053670.1	7.044
CARHR000460.1	CARHR201210.1	NA
CARHR000460.1	CARHR248290.1	NA
CARHR000460.1	CARHR032300.1	NA
CARHR000460.1	CARHR285460.1	NA
CARHR000460.1	CARHR109650.1	NA
CARHR000460.1	CARHR227900.1	NA
CARHR000460.1	CARHR227910.1	NA
CARHR000460.1	CARHR030040.1	8.2061
CARHR000460.1	CARHR237940.1	NA
CARHR000460.1	CARHR134750.1	NA
CARHR000460.1	CARHR285440.1	NA
CARHR000460.1	CARHR178580.1	NA
CARHR000460.1	CARHR227260.1	NA
CARHR000460.1	CARHR285520.1	NA
CARHR000460.1	CARHR032280.1	NA
CARHR000460.1	CARHR049730.1	NA
CARHR000460.1	CARHR256090.1	5.693
CARHR000460.1	CARHR228370.1	6.7462
CARHR000460.1	CARHR049760.1	NA
CARHR000460.1	CARHR049770.1	NA
CARHR000460.1	CARHR032290.1	7.8686
CARHR000470.1	CARHR157710.1	NA
CARHR000470.1	CARHR149650.1	NA
CARHR000480.1	CARHR281350.1	NA
CARHR000480.1	CARHR142810.1	3.058
CARHR000500.1	CARHR140960.1	2.4295
CARHR000500.1	CARHR257360.1	NA
CARHR000500.1	CARHR103390.1	9.5955
CARHR000520.1	CARHR118000.1	2.8977
CARHR000520.1	CARHR118010.1	3.0087
CARHR000520.1	CARHR171520.1	NA
CARHR000520.1	CARHR257130.1	NA
CARHR000520.1	CARHR275590.1	NA
CARHR000520.1	CARHR170080.1	NA
CARHR000530.1	CARHR248780.1	0.6171
CARHR000530.1	CARHR252720.1	NA
CARHR000530.1	CARHR264570.1	8.9043
CARHR000530.1	CARHR110050.1	NA
CARHR000530.1	CARHR201380.1	NA
CARHR000540.1	CARHR171530.1	3.1229
CARHR000540.1	CARHR141070.1	2.3128
CARHR000540.1	CARHR165880.1	1.9378
CARHR000540.1	CARHR134820.1	NA
CARHR000540.1	CARHR010300.1	2.4905
CARHR000580.1	CARHR248880.1	0.7866
CARHR000580.1	CARHR213070.1	3.1844
CARHR000580.1	CARHR047870.1	5.1829
CARHR000580.1	CARHR285240.1	4.7171
CARHR000580.1	CARHR163930.1	7.6377
CARHR000580.1	CARHR243550.1	NA
CARHR000580.1	CARHR175010.1	NA
CARHR000580.1	CARHR211380.1	NA
CARHR000580.1	CARHR293390.1	NA
CARHR000580.1	CARHR083580.1	5.2421
CARHR000580.1	CARHR081660.1	NA
CARHR000580.1	CARHR007360.1	NA
CARHR000580.1	CARHR169070.1	NA
CARHR000580.1	CARHR145240.1	NA
CARHR000580.1	CARHR024940.1	NA
CARHR000580.1	CARHR014810.1	NA
CARHR000580.1	CARHR101140.1	5.0401
CARHR000580.1	CARHR218660.1	NA
CARHR000580.1	CARHR096290.1	5.8786
CARHR000580.1	CARHR198240.1	NA
CARHR000580.1	CARHR069920.1	3.8336
CARHR000580.1	CARHR042640.1	NA
CARHR000580.1	CARHR075730.1	NA
CARHR000580.1	CARHR179000.1	9.8707
CARHR000580.1	CARHR103580.1	NA
CARHR000580.1	CARHR210530.1	NA
CARHR000580.1	CARHR217710.1	NA
CARHR000580.1	CARHR194410.1	NA
CARHR000580.1	CARHR051210.1	NA
CARHR000580.1	CARHR200310.1	NA
CARHR000580.1	CARHR212380.1	NA
CARHR000580.1	CARHR050460.1	8.5803
CARHR000580.1	CARHR169530.1	NA
CARHR000580.1	CARHR054790.1	NA
CARHR000580.1	CARHR254390.1	NA
CARHR000580.1	CARHR138020.1	NA
CARHR000580.1	CARHR024330.1	NA
CARHR000580.1	CARHR115130.1	NA
CARHR000580.1	CARHR228960.1	NA
CARHR000580.1	CARHR055990.1	NA
CARHR000580.1	CARHR011520.1	8.4067
CARHR000580.1	CARHR215590.1	3.6561
CARHR000580.1	CARHR007680.1	7.057
CARHR000580.1	CARHR174330.1	NA
CARHR000580.1	CARHR091000.1	NA
CARHR000580.1	CARHR254380.1	NA
CARHR000580.1	CARHR163260.1	NA
CARHR000580.1	CARHR240690.1	NA
CARHR000580.1	CARHR210220.1	NA
CARHR000580.1	CARHR106160.1	NA
CARHR000580.1	CARHR267030.1	NA
CARHR000580.1	CARHR150240.1	NA
CARHR000580.1	CARHR043660.1	NA
CARHR000580.1	CARHR120310.1	3.9988
CARHR000580.1	CARHR279560.1	NA
CARHR000580.1	CARHR105580.1	NA
CARHR000580.1	CARHR212300.1	NA
CARHR000580.1	CARHR016730.1	NA
CARHR000580.1	CARHR150310.1	3.9622
CARHR000580.1	CARHR045880.1	NA
CARHR000580.1	CARHR122490.1	NA
CARHR000580.1	CARHR252920.1	NA
CARHR000580.1	CARHR133930.1	NA
CARHR000580.1	CARHR230490.1	6.4702
CARHR000620.1	CARHR070970.1	2.0435
CARHR000620.1	CARHR204220.1	3.5691
CARHR000620.1	CARHR277700.1	1.8084
CARHR000620.1	CARHR090550.1	NA
CARHR000620.1	CARHR235080.1	3.1395
CARHR000620.1	CARHR043110.1	NA
CARHR000620.1	CARHR078200.1	NA
CARHR000620.1	CARHR051650.1	NA
CARHR000620.1	CARHR043100.1	2.5571
CARHR000620.1	CARHR062420.1	NA
CARHR000620.1	CARHR090560.1	2.2878
CARHR000620.1	CARHR093760.1	7.5942
CARHR000620.1	CARHR039140.1	NA
CARHR000620.1	CARHR117630.1	NA
CARHR000620.1	CARHR025090.1	8.6146
CARHR000620.1	CARHR275190.1	NA
CARHR000620.1	CARHR267090.1	NA
CARHR000620.1	CARHR145000.1	NA
CARHR000620.1	CARHR262420.1	NA
CARHR000620.1	CARHR152150.1	NA
CARHR000620.1	CARHR205490.1	9.5865
CARHR000620.1	CARHR078180.1	NA
CARHR000620.1	CARHR057810.1	NA
CARHR000620.1	CARHR077220.1	NA
CARHR000620.1	CARHR090150.1	NA
CARHR000620.1	CARHR069980.1	NA
CARHR000620.1	CARHR195950.1	4.8653
CARHR000620.1	CARHR093060.1	NA
CARHR000620.1	CARHR127490.1	5.0971
CARHR000620.1	CARHR262680.1	8.504
CARHR000620.1	CARHR200290.1	NA
CARHR000620.1	CARHR224750.1	NA
CARHR000620.1	CARHR073310.1	NA
CARHR000620.1	CARHR049140.1	NA
CARHR000620.1	CARHR012570.1	6.3333
CARHR000620.1	CARHR138060.1	NA
CARHR000620.1	CARHR194790.1	NA
CARHR000620.1	CARHR032650.1	NA
CARHR000620.1	CARHR174990.1	NA
CARHR000620.1	CARHR087510.1	NA
CARHR000620.1	CARHR212470.1	NA
CARHR000620.1	CARHR108550.1	NA
CARHR000620.1	CARHR208900.1	NA
CARHR000620.1	CARHR033690.1	NA
CARHR000620.1	CARHR276160.1	NA
CARHR000620.1	CARHR046000.1	NA
CARHR000620.1	CARHR045740.1	NA
CARHR000620.1	CARHR256290.1	NA
CARHR000620.1	CARHR064750.1	8.0549
CARHR000620.1	CARHR142110.1	NA
CARHR000620.1	CARHR281410.1	NA
CARHR000620.1	CARHR244580.1	NA
CARHR000620.1	CARHR033700.1	NA
CARHR000620.1	CARHR032390.1	NA
CARHR000620.1	CARHR236310.1	3.2812
CARHR000620.1	CARHR084990.1	NA
CARHR000620.1	CARHR107380.1	NA
CARHR000620.1	CARHR032150.1	NA
CARHR000620.1	CARHR188860.1	NA
CARHR000620.1	CARHR031960.1	9.5997
CARHR000620.1	CARHR085010.1	NA
CARHR000620.1	CARHR085000.1	NA
CARHR000620.1	CARHR087430.1	NA
CARHR000620.1	CARHR158540.1	NA
CARHR000620.1	CARHR204060.1	NA
CARHR000620.1	CARHR277970.1	NA
CARHR000620.1	CARHR032220.1	5.7571
CARHR000620.1	CARHR119850.1	3.9288
CARHR000620.1	CARHR191270.1	NA
CARHR000620.1	CARHR208910.1	NA
CARHR000620.1	CARHR104580.1	NA
CARHR000620.1	CARHR278500.1	NA
CARHR000620.1	CARHR104510.1	NA
CARHR000620.1	CARHR191150.1	NA
CARHR000620.1	CARHR250140.1	NA
CARHR000620.1	CARHR250150.1	NA
CARHR000620.1	CARHR001530.1	4.2281
CARHR000620.1	CARHR199380.1	NA
CARHR000620.1	CARHR001500.1	NA
CARHR000620.1	CARHR166660.1	3.2725
CARHR000620.1	CARHR250160.1	NA
CARHR000630.1	CARHR248670.1	0.7065
CARHR000640.1	CARHR248590.1	1.0113
CARHR000640.1	CARHR047690.1	NA
CARHR000640.1	CARHR213010.1	NA
CARHR000640.1	CARHR260810.1	NA
CARHR000650.1	CARHR248560.1	0.9855
CARHR000650.1	CARHR141170.1	NA
CARHR000650.1	CARHR211350.1	2.3757
CARHR000650.1	CARHR207280.1	NA
CARHR000650.1	CARHR294160.1	NA
CARHR000650.1	CARHR165720.1	NA
CARHR000650.1	CARHR218730.1	6.1149
CARHR000650.1	CARHR100930.1	NA
CARHR000650.1	CARHR042370.1	NA
CARHR000650.1	CARHR074630.1	NA
CARHR000650.1	CARHR193340.1	NA
CARHR000650.1	CARHR091290.1	NA
CARHR000650.1	CARHR286960.1	NA
CARHR000660.1	CARHR270370.1	0.1988
CARHR000660.1	CARHR270370.1	0.1988
CARHR000660.1	CARHR223920.1	NA
CARHR000660.1	CARHR082060.1	NA
CARHR000680.1	CARHR000690.1	1.9434
CARHR000680.1	CARHR171730.1	3.314
CARHR000680.1	CARHR171730.1	3.314
CARHR000680.1	CARHR141210.1	1.7961
CARHR000680.1	CARHR171750.1	2.7648
CARHR000680.1	CARHR141200.1	2.6463
CARHR000690.1	CARHR171730.1	5.2979
CARHR000690.1	CARHR171730.1	5.2979
CARHR000690.1	CARHR000680.1	NA
CARHR000690.1	CARHR141200.1	4.2988
CARHR000690.1	CARHR141200.1	4.2988
CARHR000690.1	CARHR141190.1	6.1821
CARHR000690.1	CARHR141210.1	NA
CARHR000690.1	CARHR045760.1	NA
CARHR000690.1	CARHR171750.1	NA
CARHR000700.1	CARHR047650.1	2.1262
CARHR000700.1	CARHR138150.1	NA
CARHR000700.1	CARHR005350.1	NA
CARHR000700.1	CARHR145460.1	NA
CARHR000710.1	CARHR166390.1	NA
CARHR000710.1	CARHR135560.1	NA
CARHR000710.1	CARHR253390.1	2.5977
CARHR000710.1	CARHR253260.1	NA
CARHR000710.1	CARHR259500.1	NA
CARHR000720.1	CARHR063670.1	0.4285
CARHR000720.1	CARHR015360.1	3.7864
CARHR000720.1	CARHR015350.1	NA
CARHR000720.1	CARHR022530.1	NA
CARHR000720.1	CARHR260220.1	NA
CARHR000720.1	CARHR244790.1	NA
CARHR000720.1	CARHR112480.1	NA
CARHR000720.1	CARHR269530.1	8.1754
CARHR000720.1	CARHR108700.1	NA
CARHR000720.1	CARHR247580.1	NA
CARHR000730.1	CARHR248520.1	0.6136
CARHR000730.1	CARHR171770.1	1.8414
CARHR000730.1	CARHR141230.1	1.283
CARHR000730.1	CARHR230740.1	1.9014
CARHR000730.1	CARHR243380.1	1.4355
CARHR000730.1	CARHR164760.1	2.6876
